"Zone";"Date";"Region";"Prov";"nMortal";"nGraveInj";"nMinorInj";"nInv";"nPedest";"nBikes";"nMotor";"Vel";"Escaped";"Weather";"TrafficInf";"WeatherInf";"LightInf";"VisionInf";"Intersect";"Surface";"DayGroup";"HourGroup";"AccType"
"Urban";2012-03-13;"Baix Ebre";"Tarragona";0;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Urban";2012-06-24;"Valles Occidental";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Night";"Other"
"Urban";2012-05-15;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"Yes";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Rollover"
"Urban";2012-06-19;"Baix Camp";"Tarragona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2012-01-22;"Noguera";"Lleida";0;1;1;2;0;0;2;"60";"No";"Good";"No";"No";"Yes";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-05-07;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-11-03;"Valles Occidental";"Barcelona";1;1;2;1;0;0;1;"100";"Yes";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Night";"Vehicle/sHitVehicle/s"
"Urban";2012-03-07;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2012-04-20;"Maresme";"Barcelona";0;1;0;2;0;0;2;"80";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-02-16;"Maresme";"Barcelona";0;1;0;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-10-19;"Tarragones";"Tarragona";0;1;0;2;0;0;2;"40";"No";"WeakRain";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-11-16;"Barcelones";"Barcelona";0;2;0;4;1;0;3;"30";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Urban";2012-06-24;"Valles Oriental";"Barcelona";1;0;0;1;0;0;1;"50";"No";"Good";"No";"No";"No";"No";"InSection";"Wet";"Weekend";"Morning";"VehicleHitObstacle"
"Road";2012-11-08;"Baix Emporda";"Girona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-06-28;"Urgell";"Lleida";0;1;3;2;0;0;2;"100";"No";"Good";"No";"No";"No";"Yes";"InSection";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Urban";2012-09-09;"Valles Occidental";"Barcelona";0;1;0;1;0;1;0;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Night";"Other"
"Urban";2012-07-14;"Alt Emporda";"Girona";0;1;0;1;0;0;1;"30";"No";"Good";"No";"No";"No";"No";"InSection";"Wet";"Weekend";"Afternoon";"VehicleHitObstacle"
"Road";2012-05-12;"Garraf";"Barcelona";0;1;0;4;0;0;4;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-06-04;"Maresme";"Barcelona";0;1;0;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"InSection";"Slippery";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-09-23;"Selva";"Girona";0;1;0;2;0;0;2;"30";"Yes";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Rollover"
"Urban";2012-05-19;"Montsia";"Tarragona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekend";"Morning";"RunOver"
"Urban";2012-11-13;"Segria";"Lleida";0;1;0;2;1;0;1;"UnknownVel";"UnknownEscaped";"Good";"No";"No";"No";"Yes";"Inside";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2012-09-10;"Garrigues";"Lleida";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"NARoadExit"
"Urban";2012-02-16;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2012-07-06;"Alt Penedes";"Barcelona";0;1;0;2;0;0;2;"60";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2012-12-14;"Valles Occidental";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-07-26;"Girones";"Girona";0;2;0;4;0;0;4;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-04-08;"Maresme";"Barcelona";0;2;0;2;1;0;1;"70";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Urban";2012-12-21;"Baix Llobregat";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Urban";2012-06-21;"Tarragones";"Tarragona";0;1;0;3;0;2;1;"50";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-10-25;"Barcelones";"Barcelona";1;0;0;2;1;0;1;"UnknownVel";"No";"WeakRain";"No";"No";"No";"No";"InSection";"Wet";"Weekday";"Afternoon";"RunOver"
"Road";2012-10-29;"Selva";"Barcelona";1;0;0;2;0;1;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-07-22;"Barcelones";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Morning";"RunOver"
"Urban";2012-04-18;"Girones";"Girona";0;1;0;2;1;0;1;"UnknownVel";"No";"WeakRain";"No";"No";"No";"No";"InSection";"Wet";"Weekday";"Morning";"RunOver"
"Road";2012-08-28;"Bergueda";"Barcelona";0;4;0;2;0;0;2;"100";"No";"Good";"No";"Yes";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-02-10;"Baix Ebre";"Tarragona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Urban";2013-02-04;"Valles Occidental";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2013-02-01;"Noguera";"Lleida";0;1;0;2;1;0;1;"40";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Urban";2013-01-18;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"WeakRain";"No";"No";"No";"No";"InSection";"Wet";"Weekday";"Morning";"Rollover"
"Urban";2013-08-01;"Ribera d'Ebre";"Tarragona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"NARoadExit"
"Urban";2013-11-20;"Bages";"Barcelona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Urban";2013-09-18;"Valles Occidental";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Other"
"Road";2013-12-11;"Baix Penedes";"Tarragona";0;2;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2013-10-03;"Baix Ebre";"Tarragona";0;1;1;2;0;0;2;"100";"No";"WeakRain";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2013-02-23;"Anoia";"Barcelona";1;1;2;3;0;0;3;"100";"No";"Snow";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2013-03-15;"Baix Camp";"Tarragona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2013-09-10;"Montsia";"Tarragona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"NARoadExit"
"Road";2013-09-13;"Valles Occidental";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"VehicleHitObstacle"
"Road";2013-09-19;"Garraf";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2013-10-09;"Valles Oriental";"Barcelona";0;1;1;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2013-12-12;"Bages";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"VehicleHitObstacle"
"Urban";2013-10-01;"Valles Occidental";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2013-11-21;"Barcelones";"Barcelona";0;1;0;3;0;0;3;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2013-03-16;"Urgell";"Lleida";0;1;1;1;0;0;1;"40";"No";"WeakRain";"No";"No";"Yes";"No";"Arriving";"Dry&Clean";"Weekend";"Night";"NARoadExit"
"Road";2013-04-25;"Alt Emporda";"Girona";0;1;0;2;0;0;2;"100";"No";"WeakRain";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2013-04-22;"Garraf";"Barcelona";0;1;0;1;0;0;1;"40";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"VehicleHitObstacle"
"Urban";2013-09-20;"Baix Emporda";"Girona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2013-07-25;"Osona";"Barcelona";0;1;0;2;0;0;2;"60";"No";"Good";"No";"No";"No";"Yes";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Rollover"
"Urban";2013-12-05;"Garrotxa";"Girona";1;0;0;2;1;0;1;"50";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Urban";2013-05-31;"Segria";"Lleida";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Urban";2013-01-23;"Girones";"Girona";0;1;0;2;1;0;1;"100";"Yes";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2013-02-26;"Baix Camp";"Tarragona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2013-02-07;"Baix Llobregat";"Barcelona";0;1;0;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2013-10-18;"Valles Occidental";"Barcelona";0;1;1;2;0;1;1;"80";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2013-05-14;"Anoia";"Barcelona";1;0;1;2;0;0;2;"90";"No";"WeakRain";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"NARoadExit"
"Road";2013-06-09;"Baix Camp";"Tarragona";0;1;0;1;0;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Other"
"Urban";2013-05-10;"Maresme";"Barcelona";0;1;0;2;0;0;2;"40";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2013-08-31;"Selva";"Girona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Slippery";"Weekend";"Afternoon";"Rollover"
"Road";2013-11-22;"Barcelones";"Barcelona";1;3;0;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Urban";2013-05-14;"Maresme";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2013-06-29;"Selva";"Girona";0;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Road";2013-03-21;"Anoia";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Road";2013-04-30;"Barcelones";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Rollover"
"Urban";2013-03-22;"Baix Llobregat";"Barcelona";1;1;0;1;0;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekday";"Night";"VehicleHitObstacle"
"Road";2013-04-21;"Maresme";"Barcelona";0;1;6;4;0;0;4;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2013-07-22;"Cerdanya";"Girona";1;0;0;3;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2013-09-15;"Segria";"Lleida";0;1;0;1;0;0;1;"40";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Night";"NARoadExit"
"Urban";2013-02-15;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"30";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2013-08-14;"Val d'Aran";"Lleida";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2013-11-13;"Tarragones";"Tarragona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2013-08-07;"Baix Emporda";"Girona";0;1;0;2;0;1;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2013-09-10;"Garraf";"Barcelona";0;1;1;2;1;0;1;"30";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"RunOver"
"Urban";2013-01-31;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Road";2013-06-24;"Valles Occidental";"Barcelona";0;2;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Night";"VehicleHitObstacle"
"Road";2013-02-21;"Bages";"Barcelona";0;1;0;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2013-03-02;"Valles Occidental";"Barcelona";0;1;0;2;0;0;2;"30";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2013-04-10;"Valles Oriental";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"NARoadExit"
"Urban";2013-07-31;"Montsia";"Tarragona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"Yes";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2013-08-03;"Segria";"Lleida";0;1;0;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"InSection";"Dry&Clean";"Weekend";"Night";"Vehicle/sHitVehicle/s"
"Road";2013-06-15;"Alt Urgell";"Lleida";0;2;2;3;0;0;3;"90";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2013-07-19;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2013-10-11;"Tarragones";"Tarragona";1;0;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Urban";2013-11-04;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2013-04-14;"Pla d'Urgell";"Lleida";0;1;0;2;0;0;2;"40";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Other"
"Road";2013-08-07;"Valles Occidental";"Barcelona";0;1;1;2;0;0;2;"100";"No";"WeakRain";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2013-10-16;"Baix Ebre";"Tarragona";0;1;0;1;0;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Rollover"
"Urban";2013-07-20;"Selva";"Girona";0;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2013-12-11;"Maresme";"Barcelona";0;1;0;1;0;1;0;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Rollover"
"Urban";2013-02-10;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Night";"Vehicle/sHitVehicle/s"
"Road";2013-09-07;"Anoia";"Barcelona";0;1;0;1;0;0;1;"50";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"NARoadExit"
"Urban";2013-06-03;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2013-06-30;"Bages";"Barcelona";1;0;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"RunOver"
"Urban";2013-01-24;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"Yes";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2013-11-28;"Valles Oriental";"Barcelona";1;0;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"Yes";"InSection";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Road";2013-11-02;"Tarragones";"Tarragona";0;1;1;2;0;0;2;"40";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2014-11-05;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Rollover"
"Road";2014-05-15;"Alt Penedes";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"VehicleHitObstacle"
"Urban";2014-11-18;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Urban";2014-05-22;"Tarragones";"Tarragona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2014-07-22;"Valles Occidental";"Barcelona";0;1;0;1;0;0;1;"110";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Rollover"
"Urban";2014-06-15;"Baix Camp";"Tarragona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"RunOver"
"Urban";2014-03-14;"Baix Llobregat";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2014-10-13;"Baix Llobregat";"Barcelona";0;1;0;2;0;0;2;"80";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2014-12-29;"Alt Penedes";"Barcelona";0;1;1;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Flooded";"Weekday";"Afternoon";"NARoadExit"
"Urban";2014-10-03;"Valles Occidental";"Barcelona";0;1;0;2;0;1;1;"30";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2014-10-20;"Girones";"Girona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Other"
"Road";2014-04-30;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"80";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"Rollover"
"Urban";2014-10-23;"Osona";"Barcelona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Road";2014-10-17;"Girones";"Girona";0;1;0;1;0;0;1;"40";"No";"Good";"No";"Yes";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Rollover"
"Road";2014-10-31;"Alt Emporda";"Girona";1;0;0;3;2;0;1;"50";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Urban";2014-09-01;"Baix Llobregat";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"NARoadExit"
"Urban";2014-10-16;"Barcelones";"Barcelona";0;1;0;1;0;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"InSection";"Dry&Clean";"Weekday";"Afternoon";"VehicleHitObstacle"
"Road";2014-03-02;"Valles Oriental";"Barcelona";0;1;1;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2014-01-01;"Valles Oriental";"Barcelona";0;1;0;1;0;0;1;"60";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"NARoadExit"
"Urban";2014-02-03;"Baix Llobregat";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Urban";2014-09-16;"Selva";"Girona";0;1;0;2;0;0;2;"40";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2014-07-18;"Baix Emporda";"Girona";0;1;1;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2014-03-13;"Osona";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Road";2014-06-01;"Solsones";"Lleida";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"Rollover"
"Urban";2014-02-02;"Barcelones";"Barcelona";0;2;1;3;0;0;3;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Night";"Vehicle/sHitVehicle/s"
"Urban";2014-09-17;"Alt Emporda";"Girona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2014-08-29;"Barcelones";"Barcelona";0;1;2;2;0;0;2;"30";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2014-01-08;"Priorat";"Tarragona";0;1;0;1;0;1;0;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"NARoadExit"
"Road";2014-08-11;"Alt Urgell";"Lleida";0;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Rollover"
"Urban";2014-12-14;"Valles Occidental";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Night";"VehicleHitObstacle"
"Urban";2014-09-26;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
