"Zone";"Date";"Region";"Prov";"nMortal";"nGraveInj";"nMinorInj";"nInv";"nPedest";"nBikes";"nMotor";"Vel";"Escaped";"Weather";"TrafficInf";"WeatherInf";"LightInf";"VisionInf";"Intersect";"Surface";"DayGroup";"HourGroup";"AccType"
"Urban";2010-03-01;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-08-30;"Baix Emporda";"Girona";0;1;0;4;0;0;4;"100";"No";"Good";"No";"No";"No";"Yes";"InSection";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Urban";2010-07-08;"Valles Occidental";"Barcelona";0;1;0;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-03-29;"Valles Occidental";"Barcelona";0;1;2;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Road";2010-10-05;"Bages";"Barcelona";0;1;0;2;0;1;1;"40";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2010-02-06;"Baix Camp";"Tarragona";1;2;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-10-27;"Alt Camp";"Tarragona";0;1;2;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"VehicleHitObstacle"
"Urban";2010-01-22;"Baix Llobregat";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Road";2010-11-19;"Alt Emporda";"Girona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2010-02-12;"Segria";"Lleida";0;2;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
