zona,dat,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,VEHICLES_MOTOR,C_VELOCITAT_VIA,D_ACC_AMB_FUGA,D_CLIMATOLOGIA,D_INFLUIT_CIRCULACIO,D_INFLUIT_ESTAT_CLIMA,D_INFLUIT_LLUMINOSITAT,D_INFLUIT_VISIBILITAT,D_INTER_SECCIO,D_SUPERFICIE,grupDiaLab,grupHor,tipAcc
Zona urbana,24/11/2010,Barcelones,Barcelona,1,1,0,2,1,0,1,30,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,17/05/2010,Anoia,Barcelona,0,1,0,2,0,0,2,40,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Bolcada a la calcada
Zona urbana,09/02/2010,Barcelones,Barcelona,1,0,0,2,1,0,1,100,No,Bon temps,Si,No,No,No,Dintre intersecció,Mullat,Feiners,Tarda,Atropellament
Carretera,31/03/2010,Alt Urgell,Lleida,0,1,3,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,28/06/2010,Baix Ebre,Tarragona,0,1,0,2,0,1,1,NA,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,04/07/2010,Alt Camp,Tarragona,0,1,0,2,0,1,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Matí,Col.lisió de vehicles en marxa
Zona urbana,25/11/2010,Baix Camp,Tarragona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,29/04/2010,Valles Oriental,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,Si,En secció,Sec i net,Feiners,Tarda,Atropellament
Carretera,26/06/2010,Tarragones,Tarragona,0,1,3,1,0,0,1,100,No,Bon temps,No,No,No,No,Arribant o eixint intersecció fins 50m,Inundat,CapDeSetmana,Tarda,Sortida de la calcada sense especificar
Carretera,31/12/2010,Valles Occidental,Barcelona,0,1,1,3,0,0,3,80,No,Bon temps,No,Si,No,No,En secció,Sec i net,Feiners,Matí,Sortida de la calcada sense especificar
Carretera,22/06/2010,Alt Emporda,Girona,0,2,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,25/05/2010,Baix Ebre,Tarragona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,25/08/2010,Barcelones,Barcelona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Bolcada a la calcada
Carretera,02/07/2010,Valles Oriental,Barcelona,0,1,0,1,1,0,0,100,Si,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Atropellament
Zona urbana,05/08/2010,Barcelones,Barcelona,0,1,0,2,0,0,2,30,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Bolcada a la calcada
Carretera,29/12/2010,Valles Occidental,Barcelona,0,1,0,2,0,1,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,12/06/2010,Tarragones,Tarragona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Sortida de la calcada sense especificar
Carretera,10/07/2010,Alt Camp,Tarragona,0,1,0,2,0,1,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Col.lisió de vehicles en marxa
Carretera,08/11/2010,Segria,Lleida,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,Arribant o eixint intersecció fins 50m,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,08/02/2010,Bages,Barcelona,0,1,0,4,1,0,3,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Atropellament
Carretera,04/12/2010,Montsia,Tarragona,0,1,1,2,0,0,2,100,No,Bon temps,No,No,No,Si,En secció,Sec i net,CapDeSetmana,Nit,Col.lisió de vehicles en marxa
Zona urbana,07/04/2010,Maresme,Barcelona,0,1,0,3,2,1,0,30,No,Bon temps,No,No,No,Sense especificar,Dintre intersecció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,23/07/2010,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,23/10/2010,Alt Camp,Tarragona,1,0,1,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Sortida de la calcada sense especificar
Zona urbana,11/02/2010,Barcelones,Barcelona,0,2,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Carretera,05/11/2010,Valles Occidental,Barcelona,0,1,1,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Zona urbana,20/01/2010,Pla d'Urgell,Lleida,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,28/08/2010,Alt Emporda,Girona,1,1,4,3,0,0,3,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Matí,Col.lisió de vehicles en marxa
Carretera,09/10/2010,Valles Oriental,Barcelona,1,0,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Carretera,07/01/2010,Valles Occidental,Barcelona,0,1,1,2,0,0,2,100,Si,Pluja dèbil,No,Si,No,No,En secció,Mullat,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,28/04/2010,Barcelones,Barcelona,0,1,1,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,25/06/2010,Baix Llobregat,Barcelona,0,1,0,2,1,0,0,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Atropellament
Zona urbana,23/04/2010,Tarragones,Tarragona,0,1,0,1,0,0,1,NA,No,Bon temps,No,No,No,Sense especificar,En secció,Sec i net,CapDeSetmana,Tarda,Sortida de la calcada sense especificar
Carretera,22/03/2010,Bages,Barcelona,1,0,1,3,0,0,3,100,No,Pluja dèbil,No,No,No,No,En secció,Mullat,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,12/12/2010,Maresme,Barcelona,0,1,2,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Matí,Sortida de la calcada sense especificar
Zona urbana,05/08/2010,Anoia,Barcelona,0,1,0,2,0,0,2,50,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,27/04/2010,Garraf,Barcelona,0,1,1,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,15/01/2010,Ribera d'Ebre,Tarragona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,Arribant o eixint intersecció fins 50m,Sec i net,CapDeSetmana,Tarda,Sortida de la calcada sense especificar
Zona urbana,02/04/2010,Baix Penedes,Tarragona,0,1,1,2,0,0,2,40,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Nit,Col.lisió de vehicles en marxa
Zona urbana,27/07/2010,Garrotxa,Girona,0,1,0,2,1,0,1,NA,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Atropellament
Carretera,17/07/2010,Alt Emporda,Girona,0,1,1,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Mullat,CapDeSetmana,Tarda,Altres
Carretera,04/05/2010,Montsia,Tarragona,0,1,1,3,2,0,1,100,No,Pluja dèbil,No,No,No,No,Arribant o eixint intersecció fins 50m,Mullat,Feiners,Tarda,Atropellament
Zona urbana,24/01/2010,Barcelones,Barcelona,1,0,1,2,1,0,1,30,No,Pluja dèbil,No,No,No,Si,En secció,Mullat,CapDeSetmana,Tarda,Atropellament
Zona urbana,09/05/2010,Baix Penedes,Tarragona,0,1,0,2,1,0,1,50,No,Bon temps,No,No,No,Sense especificar,En secció,Sec i net,CapDeSetmana,Matí,Atropellament
Zona urbana,19/08/2010,Girones,Girona,0,1,0,2,0,1,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,13/12/2010,Barcelones,Barcelona,0,1,1,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,12/11/2010,Girones,Girona,0,1,1,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Sortida de la calcada sense especificar
Zona urbana,22/04/2010,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
