"Zone","Date","Region","Prov","nMortal","nGraveInj","nMinorInj","nInvolv","nPedest","nBikes","nMotor","Vel","Escaped","Weather","TrafficInf","WeatherInf","LightInf","VisionInf","Intersect","Surface","DayGroup","HourGroup","AccType"
"Urban",2012-04-19,"Barcelones","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Road",2012-11-24,"VOriental","Barcelona",0,1,0,2,1,0,1,"50","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","RunOver"
"Road",2012-11-25,"BCamp","Tarragona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","Other"
"Urban",2012-09-07,"VOccidental","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","Other"
"Urban",2012-07-11,"VOccidental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2012-06-16,"Maresme","Barcelona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2012-11-25,"Barcelones","Barcelona",1,3,0,3,0,0,3,"100","Yes","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2012-07-26,"Osona","Barcelona",0,1,0,1,0,0,1,"60","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Road",2013-09-03,"BLlobregat","Barcelona",0,1,1,2,0,1,1,"60","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2013-12-31,"Moianes","Barcelona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Urban",2013-01-05,"BLlobregat","Barcelona",0,1,0,2,0,0,1,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitObstacle"
"Urban",2013-04-07,"Barcelones","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Night","RunOver"
"Road",2013-11-22,"AUrgell","Lleida",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","NARoadExit"
"Urban",2013-03-06,"Barcelones","Barcelona",0,1,0,2,1,0,1,"100","No","WeakRain","No","No","No","No","Inside","Wet","Weekday","Morning","RunOver"
"Urban",2013-12-24,"Barcelones","Barcelona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2013-01-26,"Selva","Girona",0,1,1,1,0,0,1,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","NARoadExit"
"Urban",2013-06-07,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2013-06-25,"Maresme","Barcelona",0,1,0,2,0,0,2,NA,"NA","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-06-08,"Ribera","Tarragona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2013-07-20,"Barcelones","Barcelona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2013-09-19,"Maresme","Barcelona",0,2,0,2,0,0,2,"60","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2013-05-17,"Bages","Barcelona",1,2,0,4,0,0,4,"100","No","WeakRain","No","Yes","No","No","InSection","Dry&Clean","Weekend","Night","HitObstacle"
"Urban",2013-09-18,"Barcelones","Barcelona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2013-03-27,"Ribera","Tarragona",0,1,0,2,0,0,2,"100","No","WeakRain","No","No","No","Yes","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-04-21,"Barcelones","Barcelona",0,1,1,2,1,0,1,NA,"NA","Good","No","No","No","NA","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Road",2013-08-08,"Tarragones","Tarragona",0,1,3,3,0,0,2,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-10-17,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2013-01-07,"BEbre","Tarragona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-11-11,"BLlobregat","Barcelona",0,1,0,2,1,0,1,NA,"NA","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Morning","RunOver"
"Road",2013-12-29,"Tarragones","Tarragona",0,1,0,2,1,0,1,"100","No","Good","No","No","Yes","No","InSection","Dry&Clean","Weekend","Morning","RunOver"
"Urban",2013-05-13,"Barcelones","Barcelona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Night","HitVehicle/s"
"Urban",2013-05-04,"Barcelones","Barcelona",0,1,1,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","RunOver"
"Urban",2013-12-13,"BEmporda","Girona",0,1,0,2,1,0,1,"50","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","RunOver"
"Road",2013-06-28,"Ripolles","Girona",0,1,0,1,0,1,0,"30","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Rollover"
"Road",2013-01-31,"AEmporda","Girona",1,1,1,4,0,0,4,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Road",2013-03-02,"Garrotxa","Girona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","NARoadExit"
"Road",2013-04-05,"Osona","Barcelona",0,1,0,2,0,0,2,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2013-09-03,"AEmporda","Girona",0,1,1,2,0,0,2,"60","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-06-10,"BLlobregat","Barcelona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-04-07,"Osona","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","NA","InSection","Wet","Weekend","Afternoon","RunOver"
"Urban",2013-09-27,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","RunOver"
"Road",2013-08-04,"BPenedes","Tarragona",0,4,0,1,0,0,1,"30","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Urban",2013-08-27,"BLlobregat","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2013-09-12,"Maresme","Barcelona",0,1,0,2,0,0,2,"40","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-02-26,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","Yes","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-11-12,"Osona","Barcelona",0,1,0,2,1,0,1,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2013-11-15,"BLlobregat","Barcelona",0,1,0,3,0,0,3,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2013-10-15,"AEmporda","Girona",0,3,0,2,0,0,2,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","HitVehicle/s"
"Urban",2013-12-23,"Barcelones","Barcelona",0,1,0,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-02-03,"BLlobregat","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Urban",2013-07-01,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2013-02-18,"Ugerll","Lleida",0,1,0,2,1,0,1,"50","Yes","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2013-03-06,"APenedes","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2013-06-27,"Segarra","Lleida",1,0,0,2,0,0,2,"100","No","Good","No","No","Yes","No","InSection","Dry&Clean","Weekday","Night","HitVehicle/s"
"Urban",2013-02-20,"BLlobregat","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2013-04-23,"Barcelones","Barcelona",0,1,2,6,2,0,4,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2013-10-12,"BLlobregat","Barcelona",2,4,1,2,0,0,2,NA,"No","Good","No","No","No","NA","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2013-07-17,"BLlobregat","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","NA","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2013-09-16,"Barcelones","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Night","HitObstacle"
"Urban",2013-12-04,"Barcelones","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","Yes","Inside","Dry&Clean","Weekday","Morning","RunOver"
"Road",2013-05-12,"Segria","Lleida",0,1,2,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Urban",2013-06-11,"Selva","Girona",0,1,1,3,2,0,1,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2013-07-05,"BLlobregat","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2013-09-08,"Bages","Barcelona",0,1,0,1,0,0,1,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","NARoadExit"
"Urban",2013-12-13,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2013-05-24,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-07-16,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-02-12,"VOccidental","Barcelona",0,1,0,2,0,0,2,"30","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2013-05-24,"Osona","Barcelona",0,1,0,2,0,0,2,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2013-04-25,"Bages","Barcelona",0,1,1,2,0,0,2,"60","No","WeakRain","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2013-04-27,"BLlobregat","Barcelona",0,1,2,4,0,0,4,"60","No","StrongRain","No","Yes","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Urban",2013-05-08,"Bages","Barcelona",0,1,0,2,1,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Road",2013-04-16,"BLlobregat","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2013-05-07,"Tarragones","Tarragona",0,1,1,2,1,0,1,NA,"NA","Good","No","No","No","NA","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2013-10-23,"Barcelones","Barcelona",0,1,0,1,0,0,1,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitObstacle"
"Road",2013-09-03,"AEmporda","Girona",0,1,0,2,0,0,2,"40","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-12-03,"Barcelones","Barcelona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-01-27,"Barcelones","Barcelona",0,1,0,2,0,0,2,"30","No","WeakRain","No","No","No","No","Inside","Wet","Weekend","Night","HitVehicle/s"
"Urban",2013-08-01,"Garrotxa","Girona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-04-22,"Anoia","Barcelona",0,1,0,2,0,0,2,"50","No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-03-14,"VOriental","Barcelona",0,1,1,2,1,0,1,"100","No","Good","No","No","Yes","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2013-04-12,"BCamp","Tarragona",0,1,0,1,0,1,0,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Other"
"Urban",2013-05-03,"VOccidental","Barcelona",0,1,1,2,0,0,2,"40","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2013-03-11,"Segria","Lleida",1,0,1,2,0,0,2,NA,"No","WeakRain","No","No","No","NA","InSection","Wet","Weekday","Night","HitVehicle/s"
"Urban",2013-01-14,"BLlobregat","Barcelona",0,2,0,2,0,0,2,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-06-16,"Noguera","Lleida",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Flooded","Weekend","Morning","RunOver"
"Road",2013-12-22,"Noguera","Lleida",0,1,1,3,0,0,3,"100","No","Good","No","No","Yes","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Urban",2013-10-02,"VOriental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2013-05-27,"BCamp","Tarragona",0,1,2,5,0,0,5,"80","No","WeakRain","No","Yes","No","No","InSection","Dry&Clean","Weekday","Night","HitObstacle"
"Road",2013-10-03,"Montsia","Tarragona",0,2,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-12-01,"Osona","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekend","Morning","RunOver"
"Road",2013-08-11,"Maresme","Barcelona",0,1,2,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitVehicle/s"
"Urban",2013-07-08,"Tarragones","Tarragona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2013-07-06,"Segria","Lleida",0,1,0,2,0,0,2,"100","Yes","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Urban",2013-09-10,"Maresme","Barcelona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Night","HitVehicle/s"
"Urban",2013-12-19,"BLlobregat","Barcelona",0,1,0,2,1,0,1,"30","No","WeakRain","No","Yes","No","NA","InSection","Wet","Weekday","Afternoon","RunOver"
"Urban",2013-10-30,"BLlobregat","Barcelona",0,1,0,2,1,0,1,NA,"NA","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2013-03-22,"BLlobregat","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitVehicle/s"
"Road",2013-09-20,"AEmporda","Girona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-08-06,"Acamp","Tarragona",0,1,0,2,0,0,2,"40","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2013-09-30,"BLlobregat","Barcelona",0,1,0,1,0,0,1,"40","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Rollover"
"Urban",2013-09-18,"Montsia","Tarragona",0,1,0,2,1,0,1,"40","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Road",2013-07-11,"VOriental","Barcelona",0,1,1,2,0,0,2,"100","No","Good","No","Yes","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-04-20,"Barcelones","Barcelona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2013-09-03,"Bages","Barcelona",0,1,0,2,1,1,0,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2013-03-02,"Moianes","Barcelona",1,0,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","Other"
"Road",2013-09-23,"BEmporda","Girona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2013-02-20,"Segarra","Lleida",0,1,1,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Other"
"Urban",2013-11-05,"BLlobregat","Barcelona",0,1,1,3,2,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2013-11-29,"BLlobregat","Barcelona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","Yes","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2013-09-07,"Ribera","Tarragona",0,1,0,2,0,0,2,"100","No","Good","No","Yes","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2013-01-11,"Selva","Girona",0,2,0,2,0,0,2,"40","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2013-10-03,"AEmporda","Girona",0,2,0,3,0,0,3,"100","No","WeakRain","No","No","Yes","No","InSection","Dry&Clean","Weekday","Night","HitObstacle"
"Urban",2013-09-20,"BCamp","Tarragona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2013-01-29,"Girones","Girona",0,2,0,2,0,0,2,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","HitVehicle/s"
"Road",2013-03-21,"VOriental","Barcelona",0,1,0,2,0,0,2,"60","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2013-10-28,"BPenedes","Tarragona",1,0,0,1,0,0,1,"40","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Road",2013-05-28,"VOriental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-12-17,"Barcelones","Barcelona",0,1,2,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-01-17,"PEstany","Girona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2013-02-08,"Maresme","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2013-10-26,"VOriental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Urban",2013-12-31,"Bages","Barcelona",0,1,1,3,1,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","Rollover"
"Urban",2013-12-15,"BLlobregat","Barcelona",0,1,0,1,0,0,1,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","NARoadExit"
"Urban",2013-12-02,"VOriental","Barcelona",0,1,0,2,0,1,1,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2013-12-19,"Ugerll","Lleida",0,2,0,1,0,0,1,"100","No","WeakRain","No","Yes","Yes","No","InSection","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Road",2013-12-24,"Ribagorca","Lleida",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Urban",2013-11-18,"Segria","Lleida",0,1,0,2,1,0,1,"100","No","StrongRain","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2013-03-05,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","WeakRain","No","No","No","No","Inside","Wet","Weekday","Afternoon","HitVehicle/s"
"Road",2013-08-03,"BEmporda","Girona",0,2,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2013-06-10,"Tarragones","Tarragona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-09-15,"Barcelones","Barcelona",0,1,1,2,1,0,1,"100","Yes","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","RunOver"
"Road",2013-11-30,"BCamp","Tarragona",2,2,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2013-08-03,"Noguera","Lleida",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Flooded","Weekend","Morning","RunOver"
"Urban",2013-06-05,"Tarragones","Tarragona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-05-13,"Garrotxa","Girona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2013-05-03,"BEmporda","Girona",0,1,0,2,0,0,2,"70","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2013-06-09,"Segria","Lleida",1,1,0,2,0,0,2,"100","No","StrongRain","No","Yes","No","No","InSection","Dry&Clean","Weekend","Morning","Rollover"
"Road",2013-10-02,"VOriental","Barcelona",0,1,0,2,0,0,2,"40","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-12-09,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-05-28,"Tarragones","Tarragona",0,1,0,1,0,1,0,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","Rollover"
"Road",2013-11-01,"VOccidental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-03-29,"VOccidental","Barcelona",0,1,0,1,0,1,0,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekend","Afternoon","HitObstacle"
"Urban",2013-07-11,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2013-06-01,"Girones","Girona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekend","Night","NARoadExit"
"Urban",2013-09-05,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2013-11-14,"VOccidental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-06-28,"Barcelones","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","NA","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2013-03-26,"VOccidental","Barcelona",1,0,1,2,1,0,1,"120","No","Good","No","No","No","Yes","InSection","Dry&Clean","Weekday","Night","RunOver"
"Urban",2013-02-06,"Barcelones","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2013-08-20,"Barcelones","Barcelona",1,0,2,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2013-12-12,"Anoia","Barcelona",1,0,1,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-11-20,"Garrotxa","Girona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","Yes","Arriving","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-02-27,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2013-07-31,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2013-11-28,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2013-01-11,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2013-07-19,"VOccidental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-06-14,"Anoia","Barcelona",0,1,0,2,0,0,2,"50","No","Good","No","No","No","NA","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2013-08-30,"APenedes","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","Yes","No","InSection","Dry&Clean","Weekend","Afternoon","HitObstacle"
"Urban",2013-10-31,"AEmporda","Girona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2013-12-23,"BLlobregat","Barcelona",0,1,2,4,0,0,4,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2013-06-20,"Tarragones","Tarragona",0,1,0,2,1,0,1,"100","No","Good","No","No","Yes","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2013-02-12,"BLlobregat","Barcelona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
