"Zone","Date","Region","Prov","nMortal","nGraveInj","nMinorInj","nInvolv","nPedest","nBikes","nMotor","Vel","Escaped","Weather","TrafficInf","WeatherInf","LightInf","VisionInf","Intersect","Surface","DayGroup","HourGroup","AccType"
"Urban",2019-06-21,"Barcelones","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","RunOver"
"Road",2019-08-31,"Bergueda","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2019-04-28,"Bages","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","NARoadExit"
"Road",2019-11-30,"Barcelones","Barcelona",0,1,0,2,0,0,2,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2019-07-30,"Selva","Girona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Road",2019-01-06,"Segria","Lleida",0,1,0,1,0,0,1,"60","No","Good","No","No","No","No","Inside","Slippery","Weekend","Night","NARoadExit"
"Urban",2019-10-10,"Maresme","Barcelona",1,0,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Icy","Weekday","Morning","RunOver"
"Urban",2019-10-01,"VOccidental","Barcelona",0,1,1,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","RunOver"
"Road",2019-08-31,"BLlobregat","Barcelona",0,1,0,3,0,0,3,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitVehicle/s"
"Road",2019-09-04,"Osona","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Urban",2019-01-28,"Maresme","Barcelona",0,2,0,2,0,0,2,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2019-01-27,"VOccidental","Barcelona",0,1,0,1,0,0,1,NA,"No","Good","No","No","No","NA","InSection","Dry&Clean","Weekend","Afternoon","Other"
"Urban",2019-08-21,"BLlobregat","Barcelona",0,1,0,1,0,0,1,"10","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Rollover"
"Road",2019-03-08,"Selva","Girona",0,1,3,4,0,0,4,"60","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Other"
"Road",2019-05-13,"BLlobregat","Barcelona",0,1,0,4,0,0,4,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2019-02-25,"Tarragones","Tarragona",1,0,1,3,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","NARoadExit"
"Road",2019-01-04,"BCamp","Tarragona",0,1,0,1,0,1,0,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","Rollover"
"Urban",2019-10-28,"Montsia","Tarragona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2019-11-02,"Noguera","Lleida",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","NARoadExit"
"Urban",2019-12-05,"BLlobregat","Barcelona",0,1,0,2,0,1,1,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2019-03-23,"Selva","Girona",1,0,0,2,0,1,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2019-01-05,"Acamp","Tarragona",1,0,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2019-07-04,"VOriental","Barcelona",0,1,0,1,0,0,1,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","Rollover"
"Road",2019-02-22,"BLlobregat","Barcelona",0,1,0,2,0,0,2,"90","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2019-11-30,"Barcelones","Barcelona",0,1,0,2,0,0,2,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2019-07-27,"BEbre","Tarragona",3,0,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Urban",2019-11-04,"Anoia","Barcelona",0,1,0,2,1,0,1,"50","No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Morning","RunOver"
"Road",2019-09-14,"Segarra","Lleida",0,1,1,3,2,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Urban",2019-01-19,"BLlobregat","Barcelona",1,1,0,3,2,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","Other"
"Road",2019-08-13,"Selva","Girona",1,0,0,2,1,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","RunOver"
"Urban",2019-03-07,"VOccidental","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2019-05-12,"Acamp","Tarragona",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","Other"
"Road",2019-04-27,"Segarra","Lleida",0,1,0,1,0,0,1,"999","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","Other"
"Road",2019-03-27,"Bages","Barcelona",0,1,0,2,0,0,1,"70","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2019-02-05,"Ugerll","Lleida",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Wet","Weekday","Afternoon","HitVehicle/s"
"Road",2019-01-24,"BLlobregat","Barcelona",0,2,0,1,0,0,1,"60","No","Good","No","No","No","Yes","InSection","Dry&Clean","Weekday","Night","Rollover"
"Road",2019-08-05,"Montsia","Tarragona",0,1,0,1,0,0,1,"70","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","NARoadExit"
"Urban",2019-07-02,"Montsia","Tarragona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Night","HitObstacle"
"Urban",2019-06-01,"Montsia","Tarragona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekend","Afternoon","RunOver"
"Urban",2019-04-18,"BCamp","Tarragona",0,1,1,3,2,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2019-08-10,"Bages","Barcelona",0,2,1,1,0,0,1,"70","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Road",2019-03-13,"Osona","Barcelona",0,1,0,2,0,1,1,"100","No","Good","No","No","Yes","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2019-02-02,"VOccidental","Barcelona",0,1,1,2,1,0,0,"100","No","Good","No","No","No","Yes","InSection","Dry&Clean","Weekend","Morning","RunOver"
