Any,zona,dat,via,pk,nomMun,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_VICTIMES,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,F_CICLOMOTORS_IMPLICADES,F_MOTOCICLETES_IMPLICADES,F_VEH_LLEUGERS_IMPLICADES,F_VEH_PESANTS_IMPLICADES,F_ALTRES_UNIT_IMPLICADES,F_UNIT_DESC_IMPLICADES,C_VELOCITAT_VIA,D_ACC_AMB_FUGA,D_BOIRA,D_CARACT_ENTORN,D_CARRIL_ESPECIAL,D_CIRCULACIO_MESURES_ESP,D_CLIMATOLOGIA,D_FUNC_ESP_VIA,D_GRAVETAT,D_INFLUIT_BOIRA,D_INFLUIT_CARACT_ENTORN,D_INFLUIT_CIRCULACIO,D_INFLUIT_ESTAT_CLIMA,D_INFLUIT_INTEN_VENT,D_INFLUIT_LLUMINOSITAT,D_INFLUIT_MESU_ESP,D_INFLUIT_OBJ_CALCADA,D_INFLUIT_SOLCS_RASES,D_INFLUIT_VISIBILITAT,D_INTER_SECCIO,D_LIMIT_VELOCITAT,D_LLUMINOSITAT,D_REGULACIO_PRIORITAT,D_SENTITS_VIA,D_SUBTIPUS_ACCIDENT,D_SUBTIPUS_TRAM,D_SUBZONA,D_SUPERFICIE,D_TIPUS_VIA,D_TITULARITAT_VIA,D_TRACAT_ALTIMETRIC,D_VENT,grupDiaLab,hor,grupHor,tipAcc,tipDia
2010,Zona urbana,02/06/2010,SE,999999,LLORET DE MAR,Selva,Girona,1,0,0,1,2,1,0,0,0,0,1,0,0,100,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident mortal,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,Un sol sentit,Atropellament,NA,Zona urbana,Inundat,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",Feiners,12.3,Matí,Atropellament,dill-dij
2010,Carretera,25/05/2010,A-2,608.8,CORNELLA DE LLOBREGAT,Baix Llobregat,Barcelona,0,1,0,1,2,0,0,0,1,1,0,0,0,80,No,No n'hi ha,A nivell,Carril d'alentiment,Obres,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Senyal velocitat,"De dia, dia clar",NA,Doble sentit,Encalç,NA,Carretera,Sec i net,Carretera convencional,Estatal,Pla,"Calma, vent molt suau",Feiners,18.25,Tarda,Col.lisió de vehicles en marxa,dill-dij
2010,Zona urbana,25/01/2010,SE,999999,MONTCADA I REIXAC,Valles Occidental,Barcelona,0,1,0,1,2,0,0,1,0,1,0,0,0,NA,No,No n'hi ha,Sense Especificar,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,Sense especificar,No,No,No,Sense especificar,No,No,No,No,No,Dintre intersecció,Genérica via,"De dia, dia clar",Senyal Stop o cedeix pas,Un sol sentit,Envestida (frontal lateral),Encreuament o intersecció en X o +,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,Sense especificar,"Calma, vent molt suau",Feiners,12.2,Matí,Col.lisió de vehicles en marxa,dill-dij
2010,Carretera,11/06/2010,B-10,4.8,SANT ADRIA DE BESOS,Barcelones,Barcelona,0,1,0,1,2,0,0,0,1,1,0,0,0,80,No,No n'hi ha,Mixt,No n'hi ha,No n'hi ha,Bon temps,"Ronda, cinturo o circumval.lacio",Accident greu,Sense especificar,No,No,No,Sense especificar,No,No,No,No,Sense especificar,En secció,Senyal velocitat,"De dia, dia clar",NA,Un sol sentit,Encalç,NA,Carretera,Sec i net,Carretera convencional,Provincial,Pla,"Calma, vent molt suau",Feiners,7.4,Matí,Col.lisió de vehicles en marxa,div
2010,Zona urbana,13/04/2010,SE,999999,TARRAGONA,Tarragones,Tarragona,0,1,0,1,1,1,0,0,0,0,0,0,0,100,Si,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,Doble sentit,Atropellament,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",Feiners,12.5,Matí,Atropellament,dill-dij
2010,Carretera,09/01/2010,N-260,208.5,"PONT DE BAR, EL",Alt Urgell,Lleida,0,1,0,1,3,0,0,0,0,2,1,0,0,50,No,No n'hi ha,Desmunt,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,Sense especificar,No,No,No,Sense especificar,No,No,No,No,No,En secció,Senyal velocitat,"De dia, dia clar",NA,Doble sentit,Col·lisió frontal,NA,Carretera,Mullat,Carretera convencional,Estatal,Pla,"Calma, vent molt suau",CapDeSetmana,9.37,Matí,Col.lisió de vehicles en marxa,dis
2010,Zona urbana,11/07/2010,SE,999999,HOSTALETS DE PIEROLA,Anoia,Barcelona,0,2,0,2,2,0,0,1,0,1,0,0,0,100,No,No n'hi ha,Mixt,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,Doble sentit,Fregament o col·lisió lateral,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",CapDeSetmana,18.15,Tarda,Col.lisió de vehicles en marxa,dg
2010,Carretera,09/06/2010,C-55,12.7,MONISTROL DE MONTSER,Bages,Barcelona,0,1,0,1,1,0,0,0,0,0,1,0,0,NA,No,No n'hi ha,Desmunt,No n'hi ha,No n'hi ha,Pluja forta,Sense funció especial,Accident greu,Sense especificar,No,No,No,Sense especificar,No,No,No,No,No,En secció,Genérica via,"De dia, dia fosc",NA,Doble sentit,Resta sortides de via,NA,Carretera,Mullat,Carretera convencional,Autonòmica,Rampa o pendent,"Calma, vent molt suau",Feiners,12.5,Matí,Sortida de la calcada sense especificar,dill-dij
2010,Zona urbana,27/01/2010,SE,999999,BARCELONA,Barcelones,Barcelona,0,1,0,1,2,0,0,1,1,0,0,0,0,100,Si,No n'hi ha,Sense Especificar,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,Un sol sentit,Col·lisió frontal,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",Feiners,14.45,Tarda,Col.lisió de vehicles en marxa,dill-dij
2010,Carretera,24/05/2010,GIV-6612,13.3,CALONGE,Baix Emporda,Girona,0,1,3,4,3,0,0,0,0,3,0,0,0,100,No,No n'hi ha,Mixt,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,Doble sentit,Envestida (frontal lateral),NA,Carretera,Sec i net,Carretera convencional,Provincial,Pla,"Calma, vent molt suau",Feiners,17.28,Tarda,Col.lisió de vehicles en marxa,dill-dij
